ad_id,x_value,y_value
a3,2.0602883049785343,3.820077913661353
a3,1.7635066413175504,2.721461305375966
a3,4.417194904723244,19.79109839106868
a3,2.782244085627069,7.257279329856949
a3,2.002839760810352,3.6399641234302353
a3,1.574363475920474,2.1837881874363188
a3,1.3018221115985433,1.4765406169212896
a3,1.102016539189528,1.0581543950911625
a3,7.003559387910172,50.18362016372093
a3,4.3243009233794165,18.73375370032597
a3,3.1197170298746544,9.335256523388805
a3,2.463233099624692,5.592006265744645
a3,2.0401728133248516,3.7434478158556566
a3,1.7279973813248601,2.6545799250834836
a3,4.024103064165667,15.816693441934842
a3,2.4133403460580847,5.793886986452952
a3,1.7888176092063222,2.8981845822306473
a3,1.3520100096188894,1.7561566514494231
a3,1.1891532726410645,1.1870457040321025
a3,1.0150297268923756,0.8469016571389241
a4,5.316653585426574,-0.67050025678356
a4,3.311867415600404,-0.447785504520795
a4,2.391413222917003,-0.2650593011013542
a4,1.884506234802665,-0.1696388729918875
a4,1.5535831293819393,-0.100663778168266
a4,1.3198120580590138,-0.047321094709872384
a4,6.9387653707771015,-0.7676922311579798
a4,4.3695373900047,-0.547745824989609
a4,3.1493193630800103,-0.3737727399993934
a4,2.473186335102121,-0.24392363173124376
a4,2.056004097535962,-0.1936533208312347
a4,1.7424233961684925,-0.11667360239043326
a4,4.458260419645137,-0.5742913522871939
a4,2.755562982558223,-0.3359462247288826
a4,1.9881803439353511,-0.18272073573159053
a4,1.5690790230482705,-0.10100848109787003
a4,1.2896832026074136,-0.04187099635167063
a4,1.1123700460216959,-0.003290018230906509
a4,6.943482670829488,-0.7421240726132952
a4,4.346854972762113,-0.5139393856231289
a4,3.123842100872319,-0.35334284186493925
a4,2.431474614485559,-0.237688669295187
a4,2.0680357132208522,-0.1572535894059326
a4,1.7347788593228077,-0.11000051521752824
a4,3.8676520655572477,-0.5277592542344212
a4,2.5374893538676186,-0.2889478409993543
a4,1.8273417593207786,-0.15944787307276131
a4,1.4027041296544824,-0.07658835528193425
a4,1.1532191352854613,-0.031555604039581554
a4,1.0061238625940438,0.000245376563858759
